Epoch,Phase,Loss,Accuracy,MCC,real_MCC,synthetic_MCC,semi-synthetic_MCC
1,Train,0.3384,88.96,0.8344,0.8445,0.8410,0.8178
1,Validation,0.1682,94.63,0.9196,0.9189,0.9237,0.9160
2,Train,0.1562,94.71,0.9206,0.9223,0.9254,0.9141
2,Validation,0.1327,95.50,0.9325,0.9314,0.9355,0.9307
